region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
chicago,6500,2006,cadillac,escalade esv,good,8,gas,167000,clean,automatic,4wd,SUV
chicago,19975,2017,ford,transit,good,6,gas,70450,clean,automatic,rwd,van
chicago,3850,2003,honda,accord,excellent,6,gas,153000,clean,automatic,fwd,sedan
chicago,3500,1991,lincoln,mark vii bill blass,fair,8,gas,108000,clean,automatic,rwd,coupe
chicago,5200,2006,honda,odyssey,excellent,6,gas,128000,clean,automatic,fwd,van
chicago,14991,2015,cadillac,ats,fair,4,gas,75606,clean,automatic,4wd,sedan
chicago,3799,2007,toyota,camry le,excellent,4,gas,204000,clean,automatic,fwd,sedan
chicago,3500,2006,buick,lucerne,good,6,gas,162000,clean,automatic,fwd,sedan
chicago,500,2018,ford,fusion,like new,4,gas,20000,clean,automatic,fwd,sedan
chicago,500,2018,ford,fusion,like new,4,gas,20000,clean,automatic,fwd,sedan
chicago,2400,2006,ford,freestyle limited,fair,6,gas,117462,clean,automatic,fwd,van
chicago,3500,2007,cadillac,cts,good,6,gas,149000,clean,automatic,rwd,sedan
chicago,7500,2009,toyota,matrix awd,good,4,gas,116000,clean,automatic,4wd,sedan
chicago,9990,2016,ford,fiesta se,excellent,4,gas,35520,clean,automatic,fwd,sedan
chicago,4850,2007,chevrolet,malibu,excellent,4,gas,82660,clean,automatic,fwd,sedan
chicago,5500,2011,nissan,rogue sl,excellent,6,gas,168000,clean,automatic,4wd,SUV
chicago,19999,2017,ram,2500 cargo van,good,6,gas,48000,clean,automatic,fwd,truck
chicago,7975,2009,jeep,patriot,good,10,gas,60586,clean,automatic,rwd,SUV
chicago,5750,2008,volkswagen,gti,good,4,gas,64300,rebuilt,automatic,fwd,sedan
chicago,9954,2012,honda,pilot,fair,6,gas,194238,clean,automatic,4wd,SUV
chicago,4400,2003,lincoln,town car executive,excellent,8,gas,101000,clean,automatic,fwd,sedan
chicago,500,2012,jeep,grand overland hemi,like new,8,gas,120000,clean,automatic,rwd,SUV
chicago,500,2012,jeep,grand overland hemi,like new,8,gas,120000,clean,automatic,rwd,SUV
chicago,29875,2015,lexus,rc 350 coupe,excellent,6,gas,22700,clean,automatic,4wd,coupe
chicago,3349,2002,mitsubishi,montero sport ls,good,6,gas,92000,clean,automatic,fwd,SUV
chicago,18500,1980,pontiac,firebird formula,excellent,8,gas,60000,clean,automatic,rwd,coupe
chicago,4950,2004,chevrolet,tahoe,good,8,gas,159825,clean,automatic,4wd,SUV
chicago,7800,2005,ford,f350 super duty,good,8,diesel,109000,clean,automatic,4wd,truck
chicago,4495,2004,pontiac,vibe,excellent,4,gas,117794,clean,automatic,fwd,sedan
chicago,5954,2010,mazda,3,good,4,gas,136098,clean,automatic,fwd,sedan
chicago,1200,2007,bmw,525i,fair,6,gas,190000,clean,automatic,rwd,sedan
chicago,10500,2011,cadillac,dts,excellent,8,gas,42000,clean,automatic,fwd,sedan
chicago,2895,2005,chrysler,town & country,good,6,gas,157175,clean,automatic,fwd,van
chicago,7995,2010,toyota,sienna,good,6,gas,143320,clean,automatic,fwd,van
chicago,4600,2012,ford,f-150,good,8,gas,120000,clean,automatic,rwd,truck
chicago,24990,2014,chevrolet,express commercial cutaway,good,8,gas,53765,clean,automatic,rwd,truck
chicago,1300,2007,ford,focus,excellent,4,gas,130000,clean,automatic,fwd,sedan
chicago,50000,2020,mercedes-benz,benz sprinter 3500xd,like new,6,diesel,5,clean,automatic,rwd,van
chicago,4999,2006,toyota,,good,6,gas,168205,clean,automatic,fwd,SUV
chicago,30,2010,toyota,camry,good,6,gas,125000,clean,automatic,fwd,sedan
chicago,5300,2007,toyota,avalon touring,excellent,4,gas,162000,clean,automatic,fwd,sedan
chicago,3500,2007,ford,e250 cargo van extended,good,8,gas,244000,clean,automatic,rwd,SUV
chicago,10900,2013,buick,enclave,like new,6,gas,71451,clean,automatic,fwd,SUV
chicago,5300,2006,buick,lacrosse cx,excellent,6,gas,109880,clean,automatic,fwd,sedan
chicago,4399,2010,nissan,rogue s,good,4,gas,116500,clean,automatic,4wd,SUV
chicago,1900,2003,bmw,325i,good,6,gas,147000,clean,automatic,rwd,sedan
chicago,3200,2005,lincoln,town car signature limit,good,8,gas,180223,clean,automatic,rwd,sedan
chicago,10500,2008,acura,tl,excellent,6,gas,44500,clean,automatic,fwd,sedan
chicago,11975,2008,ford,crown victoria,good,8,gas,21203,clean,automatic,rwd,sedan
chicago,4495,2002,chrysler,pt cruiser,excellent,4,gas,78152,clean,automatic,fwd,sedan
chicago,14750,2008,cadillac,escalade ext,excellent,8,gas,141000,clean,automatic,4wd,truck
chicago,9500,2014,jeep,patriot latitude,excellent,4,gas,50000,clean,automatic,fwd,SUV
chicago,5700,2009,honda,fit h/b,like new,4,gas,70000,clean,automatic,fwd,sedan
chicago,5999,2013,chevrolet,sonic,fair,4,gas,90324,clean,automatic,fwd,sedan
chicago,8995,2013,bmw,x1 xdrive28i,excellent,4,gas,129250,clean,automatic,4wd,SUV
chicago,2875,1998,chevrolet,astro cargo van,good,6,gas,240000,clean,automatic,rwd,van
chicago,2800,2004,honda,accord,excellent,6,gas,170000,rebuilt,automatic,fwd,sedan
chicago,8700,2002,chevrolet,suburban,excellent,8,gas,175000,clean,automatic,4wd,SUV
chicago,6450,2011,chevrolet,,excellent,4,gas,103055,clean,automatic,fwd,sedan
chicago,7000,2001,toyota,4runner 4wd,fair,6,gas,181000,clean,automatic,4wd,SUV
chicago,500,2007,bmw,328xi,like new,6,gas,88000,clean,automatic,4wd,SUV
chicago,3999,2001,toyota,,good,6,gas,250000,clean,automatic,4wd,SUV
chicago,6500,2012,ford,focus,excellent,4,gas,99977,clean,automatic,fwd,sedan
chicago,5700,2004,chevrolet,silverado 1500,good,8,gas,154227,clean,automatic,4wd,truck
chicago,2950,2006,ford,focus ses,excellent,4,gas,112586,clean,automatic,fwd,sedan
chicago,4200,2007,toyota,sienna,good,6,gas,163000,clean,automatic,fwd,van
chicago,2500,2003,ford,f150 truck,fair,8,gas,121202,clean,automatic,4wd,truck
chicago,2500,2003,ford,f150 truck,fair,8,gas,121202,clean,automatic,4wd,truck
chicago,7700,2011,lincoln,mkx,like new,6,gas,85000,clean,automatic,4wd,truck
chicago,4180,2005,ford,focus,fair,4,gas,81867,clean,manual,fwd,sedan
